CLID	FL1_NR	FL1.2_NR	FL10_NR	FL11b_CR	FL12_NR	FL13_NR	FL13.2_NR	FL14_NR	FL15_PR	FL16_PR	FL2_PR	FL3b_NR	FL4_CR	FL5b_CR	FL6_CR	FL6.2b_CR	FL7b_PR	FL8_PR	FL8.2_PR	FL9_NR	Spleen2	Spleen1	Tonsil2	Tonsil1
IMAGE:1499940	0.183	0.398	-0.236	-0.315	0.185		-0.05		-1.04	-0.446	-1.336	0.528	-0.682	-0.053	0.139		0	-0.001	0.816	0.202	0.59	2.326	-0.304	0.196
IMAGE:343872	0.149	0.416	0		-1.287			0.063	1.27	0.666	0.81	0.898	-0.49	0.182	-0.555	-0.194	-0.838	-0.339	-0.803	-1.101	0.419	-0.727	-0.041	0.075
IMAGE:1636166	-0.171	-0.609	-0.293	1.406	0.723	0.161	0.463	0.087	-1.757	-0.282	-0.548	-0.087	0.135	-0.796	0.829	0.571	0.524	-0.922	-1.126	0.5	-0.716	-4.439	0.733	0.57
IMAGE:303152	0.344	0.32	-0.217		-0.888	-0.106	-0.618		-0.02	0	0.332	-1.849	0.521	0.125	0.485	0.065	0.716	0.225	1.364		-1.322	-1.936	-0.127	-0.677
IMAGE:448048	-0.175	-0.47	-0.011	0.462	-0.792	-0.574	0.374	-0.7	-1.585	0.177	0.295	1.017	-1.361	-0.289	0.296	0.686	0.401	-0.415		0.358	0	-1.647	0.17	0.212
IMAGE:1469870	0.09	-0.932	0.031	0.577	-1.164	0.632	-0.634	-0.065	-0.031	1.557	0.841	-0.054	1.281	-0.695	0.938	-0.954	-0.244	0.12	-0.145	0.434	-0.121	-4.106	0.892	1.15
IMAGE:586826	-1.15	0	0.964	-0.421	-0.853	0.801	0.721	-0.213	-0.131	-0.185	1.403	1.231	1.01	0.793	0.746		0.209	0.347	0.136	-0.011	-0.825	-0.704	-0.473	-0.507
IMAGE:167205	0.852	0.536	-0.523	0.275	1.618	-0.477	-0.041		-0.586	-0.356	-0.868	-0.732	-0.55	-0.78	0	0.713	0.607	-0.227	1.069	0.727	2.449	3.363	-0.34	0.123
IMAGE:1455452	-0.28	-0.698	-0.605	0.328	-0.128	-0.522			-0.188	1.795	-0.102	2.254	0	-1.176	0.596		0.424	0.85	-0.246	0.256	0.687	0.105	-0.126	0.243
IMAGE:50920	0.087	0.231	-0.822	0.013	-0.349	0.508	-0.178		-0.227	0.55	-0.691	0.405	-0.286	0.418	0.72	1.187	0.323	0	0.302	-0.097	-2.292	-3.365	-0.329	-0.226
IMAGE:461613	0.086	-0.038	-0.212	-0.083	0.844		-0.586		-0.006	-0.303	-1.124	0.246	-0.096	-0.568	0.832	0.489	0.007	0.071	-1.402	-0.177	1.834	1.571	0.192	0.285
IMAGE:1416070	0.101	-0.302	-0.248	0.224	-0.189	-1.066	0.179	-0.309	-0.139	-1.31	0.555	-0.254	0.408	1.113	-0.106	-0.101	-0.379	0.283	0.54	0.165	-0.264	0.523	0.525	0.283
IMAGE:201125	-0.373	-0.235	-0.461	1.15	-0.594	0.732		-0.78	0.072	2.08	0	0.193	1.131	0.27	0.905	0.653	-0.053	-0.122	-0.378	-0.357	-0.858	0.064	-0.304	0.313
IMAGE:111426	0.342	-0.539	-0.529	0.922	-0.344	-1.478	0.837	0.498	-0.048	0.259	0.531	-0.993	0.047	-1.198	0.313	0.572	0.617	-0.146	0.276	0.983	-1.481	-1.18	-0.244	-0.138
IMAGE:451553	0.292	0.303	1.111	0.221	-1.112		-0.402		1.286	0.527	0.418	-1.49	0.969	0.036	-0.242	-0.69	-0.148	0.999	2.011	-1.3	-0.705	-0.625	-0.036	-0.598
IMAGE:219694	0.048	0.306	-0.369	-0.036	-0.748	0.289		0.079	1.272	0.633	0.95	-0.74	0.307	0.243	-0.264	-1.092	-0.244	-0.014		-0.661	0.013	1.819	-0.156	-0.601
IMAGE:461440	-0.87	0.158	0.181	0.35	-0.349	0.432	0.065	-0.228	1.093	0.084	-1.076	-0.509	-0.06	-0.093	0.117	0.06	0.179	0.251	0.415	-0.157	-1.439	-1.9	-0.185	-0.373
IMAGE:683151			0.203	0.257	1.294	0.588	0.464		-1.972	-0.13	-0.063	-0.714	-0.199	-0.355	0.713	-0.393	1.088	-0.704	-0.763	0.652	0.034	0.08	0	-0.243
IMAGE:486683	0.309	0.143	0	-0.127	1.339	0.091	0.628		-0.906	-0.404	-0.382	1.023	-0.316	-0.186	-0.232	-0.398	-0.285	-0.462	-0.544	0.454	0.768	1.932	0.714	0.75
IMAGE:815563	-0.731	-0.004	0.457	0.165	-0.423	0.484	-0.494	-0.447	0.2	0.925	0.188	1.288	1.021	0.393	-0.229	0.349	0.142	0.003	-0.432	-0.391	-0.828	-2.219	-0.377	-0.277
IMAGE:745283	-0.542	-0.66	0.223	0.681	-0.505	0.87	-0.543	-0.277	0.518	2.346	-0.83	2.44	-0.75	1.054	-0.107	0.727	0.287	0.108	-0.372	-0.949	-0.307	-2.002	0.33	0.578
IMAGE:269290	0.076	-0.376	-0.079	0.336	0.159	0.78	1.294		0.009		-0.017	-0.008	0.401	-0.098		-1.289	-0.154	0.208	1.003	-0.495	-0.056	0.504		-0.226
IMAGE:1475463	-0.013	0.584	-0.344	-0.203	-0.68	-0.19	-0.52		1.043	-0.301	-1.439	1.057	-0.722	2.488	-0.231	0.268	0	0.512		0.4		0.603	0.988	0.943
IMAGE:970880	0.186	0.382	-0.342	-0.357	-0.241	-0.389	0.631	-0.32	0.135	-0.171		-0.463	-0.463	0.611	0.687	1.339	0.378	0	0.409	0.562	-1.069	-1.257	-0.022	0.129
IMAGE:450227	0.266	0.405	0.171	0.551	-0.511	0.35	0.094	0.096	1.128	0	0.187	-0.682	-0.056	0.184	-0.783		-0.04	-0.027	-0.194	0.047	-1.729	-1.822	-0.291	-0.318
IMAGE:451397		0.37	-0.051	0.899	-1.359		-0.209		0.878	1.005		-1.728	0.083	0.05	0.729	0.494	0.2	-0.442	-0.982	0.183	-0.785	-1.573	-0.978	-0.504
IMAGE:1416029	0.496		0.25	-0.243	0	-0.796	1.173		-0.689	0.086	1.194	-0.566	0.955	-0.462	0.391	-1.484	-0.19	-0.313	0.31	-0.044		-0.008	0.051	0.268
IMAGE:825053	0.158	0.24	0.043	-0.098	0.113	0.097	-0.124	-0.617	0.081	-0.531	-1.096	0.005	0.238	0.236	-0.052	0.189	0.263	-0.275	-0.055	0.253	-1.114	-1.758	-0.164	-0.004
IMAGE:855773	0.589	0.507	-0.649		1.425	0.011	0.14		-1.223	-0.218	-0.677	0.461	-0.489	-0.356	-0.01	0.019	0.601			-0.156	0.646	2.759	-0.058	-0.06
IMAGE:162262	-0.265	0.554	0.328	0.296	-0.812	-0.079	-0.327	0.276	0.556	1.307	0.21	0.482	0.769	1.474	-0.001	0.96	-0.168	0.001	-0.082	-0.262	-1.63	-2.298	-0.28	-0.135
IMAGE:377642	-0.048	0.149	-0.236		0.653	-0.101		0.049	0.319	0.204	-0.642	0.058	-0.643	-0.806	-0.577	-0.269	0.058	-0.3	-1.178	-0.188	2.59	1.791	0.462	0.784
IMAGE:1467972	-0.26	0.535	-0.125	-0.153	0.731	0.42	-1.113		-0.392	-0.287	-0.06	-0.65	0.341	-0.062	0.528	-0.125	0.059	0.145	1.745	-0.409	2.048	0.481		0.257
IMAGE:362770	0.053	0.075	-0.201	0.025	-0.5	-0.024	0.239	-0.258	0.509	1.141	-0.563	-0.223	-0.086	0.038	-0.437	0.116	-0.052	0.09	0.036	0.061	-2.147	-1.152	0.055	-0.089
IMAGE:272507	0		0.956	-0.548	1.546	0.169	0.898	0.96	-1.658	-0.027		-0.548	-0.744	0.06	-0.429	-1.926	-0.136	-0.041	1.397	-0.06	0.302	0.545		0.057
IMAGE:53247	-0.114	-0.171	0.494	1.38	-0.829	-0.196	0.082	-0.267	0.624	1.428	0.515	1.451	0.433	0.144	0.091	-0.172	-0.082	0.265	0.6	-0.24	-1.574	-0.735	-0.28	-0.405
IMAGE:1055775	-0.022	0.548	0.894	-0.159	-0.496	-0.053	-0.959	-0.971	1.347	-0.327	-0.129	-1.82	0.587	0.496	0.39	0.387	0.099	1.039	1.55	0.023	-1.855	-1.996	0.415	-0.034
IMAGE:306540	0.263	-0.157	-0.287	-0.005	0.993	-1.269	0.149	0.223	-0.341	-0.012	0.159	0.534	-0.271	-0.525	-0.038	0.517	-0.439	-0.19	0.012	0.258	1.132	1.07	-0.033	0.004
IMAGE:240896	0.568	0.956	-0.022	-0.419	0.497		0.932		-0.216	-0.205	0.788	-0.136	-0.646	-0.24	-0.086	0	-0.313	-0.514		0.407	0.733	1.628	1.177	1.014
IMAGE:1473682		-0.429	-0.415	0.134	-0.767	-0.28	0	-0.261	1.073	-0.496	-0.869	0.977	-0.467	2.39	-0.223	0.582	0.178	0.309	0.338	-0.129	-0.324	1.04	0.988	0.838
IMAGE:447569	0.435	0.373	0.214	0.087	0.119	-0.068	0.373	-1.083	0.263	-0.449	0.255	-1.017	0.32	-0.245	-0.058	0.604	-0.686	-0.085		0.147	-1.037	-1.278	0	-0.297
IMAGE:1469332	-0.665	-1.035	-0.587	0.299	-1.48	0.031		0.231	-0.043	0.334	0.464	-0.405	1.066	-0.623	0.809		-1.139	0	-0.542	0.071		-1.635	0.178	0.52
IMAGE:448036	-0.866	0.141	0.603	-0.977	-1.477	0.642	-0.739	0.451	0.096	0.653	-0.213	1.179	-0.53	1.476	0.577	1.499	-0.649	-0.096	-0.613	-0.134	-1.935	-2.35	0.367	0.343
IMAGE:1475786	-0.012	0.188	0.363	-0.314	-0.852	-0.016		0.414	0.367	0.042	0.171	-1.07	-0.077	0.561	0	0.372	-0.229	0.314	0.403	0.105	-1.214	-1.194	-0.029	-0.042
IMAGE:22187		-0.206	0.068	-0.552	-1.237	-0.277	-0.17		0.726	0.614	0	-0.297	0.523	0.036	1.323	-0.216	0.394	0.174		0.14	-2.037	-3.215	0.047	-0.385
IMAGE:825176	0.318	0.096	-0.414	-0.423	-0.41	-0.114	-0.043	0.12	0.122	-0.641		-1.096	0.313	0.063	-0.284	0.147	0.242	0.134	0.309	0.724	-1.003	-2.312	-0.281	0
IMAGE:743810	-0.232	-0.059	-0.006	-0.205	-0.214	-1.058	-0.407	0.35	0.845	-0.954	-0.616	1.018	0.304	2.074	0.453		0.386	0.561	0	-0.018	-0.095	0.946	1.118	0.849
IMAGE:435415		-1.149	0.012		-0.134	0.299	-0.619	0.239	0	0.159		0.181	-0.368	0.465	-0.265	-0.013	0.522	0.315	-0.176	0.161	-1.495	-1.193	0.257	-0.091
IMAGE:133199	0.194	-0.313	-0.253	0.671	0.591	-0.929	-0.854		-0.761	0.176		-1.613	-0.439	-1.146	0.153	-0.154	1.606		-0.237	0.301	1.296		1.403	1.132
IMAGE:461465	-0.294		-0.04	0.162	-0.788	0.159	-0.37	-0.675	0.892	0.531		-1.68	0.01	0.977	-0.175	0.414	0.125	0.305	0.401	-0.011	-2.332	-2.979	0.188	-0.173
IMAGE:235079	0.444		-0.245	-0.247	-0.366	-0.531	1.355	0.249	0.221	0.004	0.838	-1.82	-0.171	0.751	-0.458	0.569	-0.071	-0.106	0.017	0	-1.384	-1.683	0.477	0.518
IMAGE:773308	-0.172	0.197	0.383	0.16	-0.55	-0.189	0.392	0.601	0.864	0.1	-1.156	0.778	0.191	1.432	-0.016	-0.063	-0.03	-0.155	-0.206		-1.063	-1.187	0	0.166
IMAGE:415814	-0.283		0.062	-0.078	0.297	-0.568	0.614		-1.024	-0.026	0.483	0.026	-0.056	-0.23	-0.318	-0.521	0.303	-0.41			1.234	1.072	0.276	0.074
IMAGE:701120	-0.937	-1.281	0.575			0.078	-0.016		-1.205	0.712	0.889	1.201	-0.567	-0.56	-0.985	-1.162	0.346	1.001	0.15	-0.66	-0.916		0.211	0.016
IMAGE:264692	0.412	-0.653		1.31		-0.237	0.897	0.365	-1.108	-0.16		0.124	0.395	-0.338	-0.124	-0.147	0.199		-0.241	0.819	0.791	1.064	-0.444	-0.252
IMAGE:745572	-0.082	0.004	0.637	-0.518	0.478	-0.281			-0.833	0.085	0.532	0.266	-0.394	-0.074	-0.259	-1.54		0	-0.694	-0.249	1.298	2.061	0.269	0.495
IMAGE:1606557	-0.109	-0.363	-0.122	0.07	1.792	-0.513	-0.456		-0.621	-0.884		0.359	-1.001	-0.43	0.004	0.021	-0.005	0.228	-0.306	0.269	0.835	1.841	0.608	0.706
IMAGE:281449	-0.04	-0.073	0.425	0.039	-0.165	-0.055	-0.178	0.624	1.282	0.565	-0.151	0.947	-0.173	0.092	-0.434	0.043	0.06	0.232	0.143	0.402	-1.287	-1.845	-0.304	-0.09
IMAGE:460034	-0.721	-0.109	0.455	-0.306	0.004		1.131		-0.504	0.135	0	0.007	-0.454	-0.185	-0.398		-0.279	-0.241	0.339	-0.296	0.192	0.471	1.004	1.094
IMAGE:112498	-0.284	0.574	1.324	0.151	0.089	0.507	0.001	-0.088	1.238	-0.114	1.379	-0.693	-0.001	2.003	-0.537	0.028	0.287	-0.084	-0.099	-0.363	-0.714	-1.066	-0.425	0.103
IMAGE:745272	-0.297	-0.19	0.131	0.038	-0.038	0.622	0.363	-0.901	0.695	0.267	0.418	-0.12	1.058	-0.1	0.063	0.24	-0.405	0.518	-0.095	0.173	-1.322	-1.084	-0.386	-0.446
IMAGE:489572	-0.455	-0.104		-0.162	0.109	-0.549	0		-1.048	-0.304		-0.113	0.015	0.005	-0.069	-0.903	-0.226	0.095	0.177	0.621	1.352	1.077	0.268	0.05
IMAGE:280602		1.223	-0.13	-0.066	0.236			0.673	-0.168	0.036	-0.211	0.761	-0.066	0.143	-1.011	0	-0.627	-0.082	-0.71	-0.663	2.552	3.291	1.063	1.097
IMAGE:1466405	0.096		0.692	-0.468	-1.13	0.37	-0.262		1.15	0.045	0.523	-1.451	0.901	0.307	-0.269	-0.046	-0.112	0.367	1.549	-0.631	-1.135	-0.947	0.124	-0.383
IMAGE:449112	-0.287	0	-0.335	0.354	-0.476	-0.654	0.509	0.957	0.849	-0.511	0.049	-0.43	0.078	1.613	-0.106	0.585	-0.335	-0.097		0.559	-1.344	-1.623	0.788	0.604
IMAGE:1468054	-0.303	-0.095		0.004	0	0.237	-0.009		0.317	0.245		0.626	0.584	0.233	0.832	-0.877	0.581	-1.749	0.501	-0.108	-1.383	-1.287	-0.251	-0.076
IMAGE:866633	0.7		0.794	-0.002	0.839	0.075	1.275	1.365	0.652	-0.029	-0.523	-0.572	-0.855	-0.987			-0.143	-0.035	1.017	0.089	0	-0.675	-0.576	0.76
IMAGE:24208	-0.055	0.333	0.035	-0.008	-1.143	0		0.118	0.849	-0.284	-0.16	-0.267	0.054	0.513	-0.7	-0.067	0.052	0.236	0.216	-0.255	-2.341	-1.758	0.225	0.195
IMAGE:112482	-0.013	0.23	0.894	0.084	-0.576	0.397	-0.297	-0.727	1.156	0.351	0.014	-2.048	0.295	-0.287	-0.147	0.645	0.104	0.394	0.442	-0.018	-3.215	-4.318	-0.42	-0.539
IMAGE:826355	-0.186	-0.33	-0.478	0	1.081	-0.103	0.228	0.087	-0.579	0.044	-0.336	-0.277	-0.105		-0.987	0.268	0.099	-0.834	-1.352	1.075	1.723	0.993	0.06	0.646
IMAGE:506281	0.623	-0.128	-0.315	0.887	1.031	-0.567	1.414	0.379	-1.273	1.831	-0.091	-0.175	0.291	-0.712	-0.065	0.754	0.583	-0.592		1.428	-0.165	-1.439	0.271	0
IMAGE:280782	0.092	-1.573	0.076	0.666	1.061		-0.687	-0.018	-0.195	-0.021	-0.66	-1.192	0.651	0.019	-0.086	0.124	0.254	-0.068	-0.414	0.483	0.219		-0.046	0.289
IMAGE:435371	-1.054	-0.499	0.175	-2.075	-0.657		-0.109		-0.534	0.308	0.428	-0.175	1.611	-1.61	0.267	-0.262	0.35	0.93	-0.663	-1.596	0.385	0.108	0.661	0.571
IMAGE:383813	-0.121	-0.238	-0.54	1.504	0.727	-0.735	0.646	-0.096	-1.069	1.186	0	1.446	-0.04	-0.117	-0.055	0.257	0.187	-0.943		0.39	0.509	-0.24	0.86	0.602
IMAGE:280699	0.244	0.861	-0.144	-1.004	0.911	-0.071	-0.613		0.054	-0.533	0.408	0	-0.189	-0.306	0.071	0.152	-0.437	0.53	1.042	-0.384	-0.063	1.035	-0.276	0.282
IMAGE:366414	-0.027	-0.392	-0.313	-0.669	-0.62	-1.051	-0.259	0.135	0.795	-0.161	-0.517	0.413	-0.414	2.359	0.209	-0.166	0.159	0.609	0.255	0.12	-1.134	0.027	0.981	0.832
IMAGE:186767	-0.178	-0.401	-0.469	0.92	0.513	-0.266	-0.366		-0.566	1.379	-0.157	1.538	0.499	0.245	1.514	1.367	0	0.514	-0.277	0.002	0.306	-1.987	-0.392	-0.419
IMAGE:454232	0.392	0.459	0.014	0.379	0.868		-0.334	0.928	1.173	0.192	0.926	-1.512	0.084	-0.789	-0.571	-0.607	1.505	-0.436	-0.348	0	-0.757	-0.739	-0.958	-0.837
IMAGE:855024	-0.568	-0.507	0.518	0.255	-0.916	-0.173	0.172			-0.254	1.201	1.173	1.016	0.394	0.6		-0.22	0.348	-0.182	0.589	-1.346	-1.578	-0.152	0
IMAGE:462352	0.305	0.413	0.514	0.327	-0.854	-0.439	0.065	-0.471	1.124	0.139	-1.126	-1.303	0.267	0.458	-1.05	-0.064	0.547	0.207	0.859	-0.617	-0.966	-0.606	-0.253	-0.134
IMAGE:813999	-0.078	0.083	0.037	0.164	-0.156			0.139	0.388	-0.313	0		-0.202	0.603	-0.55	0.571	0.095	-0.085	-1.058	0.224	-2.3	-1.957	0.322	-0.041
IMAGE:1558180	0.372	0.378	-0.261	0.197	-0.015	-0.913	0.265	-0.63	-0.06	-0.076	-0.094	-0.355	-0.382	1.305	-1.019	0.098	-1.057	-0.262	0.254	0.106	0.014	0.352	0.048	0.147
IMAGE:814995	-0.416	-0.026	-0.424	-0.042	-0.88	0.784	-0.641		0.558	-0.686		0.496	0.188	1.247	-0.162		0.24	0.503	0.139	0	-1.092	-0.573	1.104	0.485
IMAGE:1637343	0.147	0.13	-0.365	0.041	-0.326	-0.085	0.012	-0.233	0.359	-0.319	-0.417	-1.03	0.254	0.435	0.227	0.654	0.295	-0.013	0.195	0.305	-1.952	-3.227	-0.236	-0.169
IMAGE:51078	-0.125	-0.234	0	1.749	-0.161	0.147	0.595	0.184	0.135	0.165	-1.14	0.102	-0.786	-0.726	0.099	0.025	0.129		0.36	-0.016	-0.285	-1.571	-0.082	-0.383
IMAGE:255667	0.197	0.161	0.316	0.554	-0.006				1.017	1.158	-0.861	-0.052	0.564	-0.687	0.006	0.857		-0.36	-0.444	-0.918	0.154	-1.049	-0.462	-0.425
IMAGE:239973	0.064	0.147	-0.029	0.629	-0.873	0.087		0.004	1.032	0.72	-0.155	-0.502	0.186	0.177	0	-0.198	-0.224	0.585	0.99	-0.437	-1.057	-1.139	-0.179	-0.345
IMAGE:50877	0.502	0.749	-0.063	-0.89	0.098	0.258	0.372	-0.895	-0.883	-0.908	-1.788	-2.064	-0.895	1.227	-0.507	0.506	0.643	-0.28	-1.965	0.063	1.001	-0.614	1.996	2.287
IMAGE:344210	0.022	0.283	-0.059	0.769	-0.745	0		0.193	1.22	0.546	0.051	0.603	-0.156	0.322	-0.672	0.624	-0.269	0.026	-0.188	-0.146	-1.563	-1.979	-0.108	-0.217
1292878	-0.219	-0.05	0.054	-0.685	0.2	-0.493	0.066		-0.319	0.179		0.721	0.232	-0.114	-0.68	0.17	-0.083	-0.11	-1.164	-0.25	1.261	1.831	0.049	0.05
IMAGE:377801	-0.646	-0.878	0.049	-1.042	0.227	0.205			-2.041	-0.819	0.066	0.051	0	-0.232	-0.847	-0.415	-1.043	0.102	-0.29	0.028	1.585		0.046	0.048
IMAGE:461351		0.134	-0.201	-0.386	0.419	-0.653	0.572			0.323	-0.014	-0.495	0.015	-0.26	0.287	-1.01	-0.048	-0.073		-0.041	3.867	2.894	0.031	0.487
IMAGE:263916	-0.707	0.023	0.186	-0.145	-1.18	0.208	-0.305	-0.388	0.917	0.81	-0.28	0.111	-0.14	0.703	-0.006	0.485	0.539	0.207	-0.047	-0.597	-2.059	-2.997	0.053	0.006
IMAGE:1536324	-1.143	-0.53	-0.111	-0.334	1.04	-1.09	-0.288	1.138	-1.156	0.536	0.101	0.021	-0.328	-0.232	-0.327		-0.454	0.036	0	1.026	0.474	0.136	0.775	0.531
IMAGE:454701	-1.015	-0.691	0.45	0.552	-0.579	0.623	0.775		0.381	-0.211		0.315	-0.021	0.312	-0.109	-0.065	0.022	0.664	0.809	0.138	-1.48	-1.741	-0.553	-0.103
IMAGE:395633			0.036	-0.287	-0.047	0.463	0.254	0	0.526	0.381	-0.45	-1.07	-0.361	0.301	-0.338		0.231	0.23	0.009	0.369	-1.096	-1.401	-0.186	-0.026
IMAGE:281191	0	0.193	0.199	-0.472	-0.69	0.479	-0.163	-0.797	0.25	0.228	0.267	-1.51	0.179	0.429	0.037		-0.113	0.328	0.985	-0.688	-1.389	-1.903	-0.082	-0.351
IMAGE:460877	-0.497	-0.762	-0.072	0.082	-0.394	-1.05		1.134	-0.628	0.071	0.389	0.099	0.3	0.485	-0.07	-1.011	-0.188	0	0.948	-0.161	0.623	1.102	0.058	-0.201
IMAGE:1559001	-0.467	0.278	0.013	0.03	-0.696	0.194	-0.631	-1.274	-0.343	0.398	-0.719	-0.636	-0.277	1.381	0.228	-0.014	0.502	0.431	1.082	-0.441	-1.572	-2.034	0.102	0.137
IMAGE:824870	-0.117	0.601	0.866	-0.294	-1.386	0.265	-0.151	-0.627	0.551	-0.092	-0.323	-1.546	0.277	2.194	-0.87	0.092	0.326	1.214	1.321	-0.822	-1.261	-0.888	0.469	0.449
IMAGE:347184	1.007	-0.075	-0.032	0.039				0.146	-0.279	0.39	0.502		-0.256	0.05	-0.119	-0.224	-0.65	-0.298	-0.682	1.038	2.054	1.79	0.032	-0.21
IMAGE:430723		0.007	-0.156	1.163		-0.323		1.388	0.293	0.651	0.362	0.629	-0.326	-0.237	-0.033	-0.305	-1.073	0.185	0.494	0.153	-0.071	0	-0.514	-0.039
IMAGE:448556	-0.439	-0.913	-0.099	-0.954	0.518			0.847	-1.763	-0.302	1.254	0.501	-0.395	0.426	-0.477	-0.405	-0.854	0		0.156	1.033	1.242	0.395	0.209
IMAGE:121489	-0.045	0.155	0.065	-0.141	-0.973	0.423	-0.17	-1.153	0.461	0.029	-0.623	-1.377	-0.205	0.133	-0.435	0.194	0.122	0.204	0.429	-0.029	-1.311	-2.059	0.208	0.072
IMAGE:399390	0.465	-0.202	-0.183	-0.491	0.034	-0.34	0.797		0.441	-0.161	0	-0.281	-1.056	-0.096	0.057	0.292	-1.343	-0.255	-0.555	0.209	0.202	1.086	0.22	0.491
IMAGE:860008	0.272	0.18	-0.132	0	1.126	-0.498	-1.035		-0.05	0.341		0.519	-0.319	0.205	-0.381	-0.5	-0.075		0.48	0.161	0.113	1.327	-0.033	-0.082
IMAGE:826310	0.026	-0.027	0	0.028	-1.244	-0.383		0.122	0.04	0.543	0.533	-1.184	0.779	-0.294	0.434	-0.245	0.195	0.04	-0.001	-0.125		-2.86	-0.937	-0.814
IMAGE:461098	0.417	0.468	0.29	-0.087	-1.066	0.141	0.187	-0.266	0.8		-0.332	-1.281	0.26	-0.358	0	0.282	0.147	0.135	0.12	-0.011	-2.206	-2.345	-0.385	-0.071
IMAGE:24271	0.601	0.079	-0.205	0.555	0.181	-0.063		-0.52	-0.726	1.429	-0.277	0.721	0.063		-0.079	1.08		-0.929	-1.221		-1.684	-1.843	0.328	0.192
IMAGE:809862	0.248	0.46	0.054	-0.736		-0.423	-0.078		1.066	0.673	-0.538	-2.437	-0.157	0.806	-0.081	0.14	0.28	0.225	0.932	0.075	-0.772	-1.283	-0.107	-0.054
IMAGE:23533	0.217	0.241	-0.223	-0.331	1.743	-0.011			-0.888	-0.272	-0.038	1.643	-0.201	0.014	-0.41	0.011	-0.916	0.081	1.064	0.272	-0.212	-0.357	0.389	0.425
IMAGE:1486118	-0.204	-0.058	0.038	0.187	0.248	0.406		-0.31	-0.424	-0.672	0.077	-0.291	0	-0.075	-0.79	-0.281	-0.936	-0.304	0.489	0.107	2.4	0.226	6.627	6.58
IMAGE:277112	-0.293	-0.436	-0.56	0.44	-0.031	-1.363	-0.039	-0.027	0.563	-1.611	1.053	0.903	0.391	1.351	0.028	-0.283	-0.048	0.588	-0.171	0.441	-0.392	0.715	1.324	1.177
IMAGE:431280	0.729	0.141	-0.382	0.946	1.024	-0.214		0.628	-0.602	-0.917	-0.206	0.423	0	-0.832	-0.039	0.694	0.345	-0.637	-1.47	0.721	1.77	1.121	-0.201	-0.142
IMAGE:824894	-0.588	1.001	1.608	0.1	0.286	1.081	-0.158		1.203	-0.069	0.459	-0.69	0	2.369	-0.252	-0.061	1.437	-0.083	0.702	-0.362	-0.174	-1.263	-0.583	0.519
IMAGE:549911	0.553	0.553	0.426	0	-0.515	-0.369	0.328	-0.186	0.422	0.227	0.591	-1.189	0.278	-0.098	-0.2		-0.209	0.106	0.097	-0.102	-1.173	-1.35	-0.28	0.02
IMAGE:1435481	0.673	-0.075	-0.302	0.782	0.837		0.554	-0.71	0.238	0.284	-0.252	0.223	0.83	-0.114	-0.175	0.436	-0.258	0.231	-0.39	1.073	-1.66	-1.755	-0.373	0
IMAGE:824212	-0.58		0.206	0.722	-0.968	0.781	-0.151	-0.03	0.421	0.294	0.729	0.693	0.107	-0.682	0.905	1.059	-0.342	0.625	0	-0.351	-1.968	-2.495	-0.919	-1.096
IMAGE:120644	0.212	0.287	0.174	-0.143	-0.001		0.099		0.282			-1.225	0.236	-0.466	0.134	-0.099	0.001	0.332	0.203	-0.059	-1.339	-1.495	-0.571	-0.444
IMAGE:714414	0	-0.035	-0.486	-0.466	0.124	-0.544	-0.016	0.491	0.049	-0.132		-0.516	-0.403	0.66	-0.137	0.412	0.159	-0.514	-0.457	0.111	1.125	1.143	1.085	0.116
IMAGE:379598	0.113	0.025	0.083	-0.426	-0.192		0.853		-1.323	-0.025	-0.328	0.049	0.194	-0.338	0.055	-1.223	-0.862	-0.481	0	-0.36	1.018	1.729		0.016
IMAGE:153646	-0.071	-0.217	-0.139	-0.513	0.96	-0.701	0.774	0.073	-0.82	-0.881	-0.705	1.478	-1.199	0.677	-0.825	0.124	-0.145	0.903	1.868	-0.137	0.077	0.072	0.234	0.171
IMAGE:856289	0.061	0.022	-0.195	-0.664	-1.038	0.072	-0.316	-0.657	0.665	-0.14	-0.566	0.127	-0.081	1.862	-0.752	-0.157	0.22	0.248	0.357	-0.023	-1.07	0.396	1.128	1.116
IMAGE:266210	-0.095	0.312	-0.146	-0.535	-1.359	0.415		-0.001	0.161	1.405	0.158	0.504	-0.163	1.166	-0.217	0.305	0.459	-0.025	0	-0.345	-1.474	-1.1	0.42	0.298
IMAGE:686100	0.16	0.469	-0.039	0.11	-0.351	-0.572	-0.086	0.065	0.843	-0.207	0.208	-0.615	0.868	0.669	-0.272	1.151	-0.279	0.072	0.302	0.04	-1.879	-2.392	-0.195	-0.154
IMAGE:897159	0.819	-0.212	-0.532	-0.337	0.949	-0.596	0.469	0.136	0.016	-1.15	0.201	-0.78	0.131	-0.076	-0.739	0.43	-1.07	-0.017	1.175	0.161	-0.589	-0.2	0.073	0.043
IMAGE:1468993	-0.133		0.104	0.023	-1.253	0.034		-0.122	1.043		0.109	-0.099	1.004	-0.023	-0.132	0.4	0.184	0.099	0.301	-0.776		-2.517	-0.414	-0.447
IMAGE:436388	0.334	0.196	0	0.415	-0.715	0.086	-0.333		0.676	-0.285	0.679	-3.018	0.841	-0.794	0.045	0.005	-0.237	0.618	0.999	-0.461	-1.125	-2.161	-1.043	-1.088
